Query 3; Tempo: 727.106715ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 700.359686ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 754.19421ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 897.099327ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 762.986576ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 750.745514ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 635.50984ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 1.602911722s; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 784.085927ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 797.666262ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 713.581373ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 677.745345ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 751.760895ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 688.713253ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 705.267335ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 695.225536ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 642.936736ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 712.429682ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 800.066721ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 675.971001ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 732.933983ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 759.440353ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 764.955058ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 698.891172ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 726.149732ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 685.797195ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 743.059025ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 716.903526ms; Payload Request: 252; Payload Response: 45726
